global_it,train_loss,train_acc,test_acc
0, 1.50, 0.0469, 0.0392
250, 0.06, 0.9844, 0.9534
500, 0.04, 0.9531, 0.9747
750, 0.03, 0.9844, 0.9794
1000, 0.02, 1.0000, 0.9848
1250, 0.03, 0.9531, 0.9848
1500, 0.04, 0.9531, 0.9862
1750, 0.02, 0.9688, 0.9871
2000, 0.02, 0.9844, 0.9854
2250, 0.01, 1.0000, 0.9858
2500, 0.03, 0.9844, 0.9878
2750, 0.02, 0.9844, 0.9886
3000, 0.01, 0.9844, 0.9881
3250, 0.01, 1.0000, 0.9889
3500, 0.01, 1.0000, 0.9891
3750, 0.02, 0.9844, 0.9892
4000, 0.01, 1.0000, 0.9896
4250, 0.01, 1.0000, 0.9898
4500, 0.01, 1.0000, 0.9900
4750, 0.01, 1.0000, 0.9898
5000, 0.01, 1.0000, 0.9895
5250, 0.01, 1.0000, 0.9902
5500, 0.01, 1.0000, 0.9895
5750, 0.01, 1.0000, 0.9901
6000, 0.00, 1.0000, 0.9900
6250, 0.00, 1.0000, 0.9898
6500, 0.01, 1.0000, 0.9903
6750, 0.01, 0.9844, 0.9903
7000, 0.00, 1.0000, 0.9912
7250, 0.01, 0.9844, 0.9895
7500, 0.00, 1.0000, 0.9910
7750, 0.01, 1.0000, 0.9902
8000, 0.00, 1.0000, 0.9907
8250, 0.01, 1.0000, 0.9903
8500, 0.00, 1.0000, 0.9906
8750, 0.00, 1.0000, 0.9898
9000, 0.00, 1.0000, 0.9901
9250, 0.00, 1.0000, 0.9908
9500, 0.00, 1.0000, 0.9906
9750, 0.01, 1.0000, 0.9902
10000, 0.00, 1.0000, 0.9899
10250, 0.00, 1.0000, 0.9898
10500, 0.01, 0.9844, 0.9903
10750, 0.00, 1.0000, 0.9916
11000, 0.00, 1.0000, 0.9903
11250, 0.00, 1.0000, 0.9903
11500, 0.00, 1.0000, 0.9908
11750, 0.00, 1.0000, 0.9902
12000, 0.00, 1.0000, 0.9909
12250, 0.00, 1.0000, 0.9899
12500, 0.00, 1.0000, 0.9899
12750, 0.00, 1.0000, 0.9902
13000, 0.00, 1.0000, 0.9903
13250, 0.00, 1.0000, 0.9915
13500, 0.00, 1.0000, 0.9909
13750, 0.00, 1.0000, 0.9909
14000, 0.00, 1.0000, 0.9918
